"","x"
"1",4.79653384819039
"2",2.12336655178055
"3",1.40591741057697
"4",0.971733209431796
"5",0.80842780942358
"6",0.716204250677921
"7",0.463881300284836
"8",0.329779619623896
"9",0.191713602910719
"10",0.123129550458361
"11",0.0632899450983438
"12",0.00602290154262178
